"calculation_id","card_id","scenario_id","profile_name","monthly_spend","applied_tier_id","gross_monthly_saving","monthly_fee","net_monthly_saving","picking_rate","effective_monthly_cap","matched_benefit","calculation_status","exported_at"
"naver-card-10304-balanced_30","naver-card-10304","balanced_30","균형 30만원","300000","naver-card-10304-tier-1-0","910.12","1666.6666666666667","0","0","20000","910.12","calculable","2026-06-11T11:14:42.801Z"
"naver-card-10304-balanced_50","naver-card-10304","balanced_50","균형 50만원","500000","naver-card-10304-tier-1-0","1516.8400000000001","1666.6666666666667","0","0","20000","1516.8400000000001","calculable","2026-06-11T11:14:42.801Z"
"naver-card-10304-balanced_70","naver-card-10304","balanced_70","균형 70만원","700000","naver-card-10304-tier-1-0","2123.59","1666.6666666666667","456.9233333333334","0.0653","20000","2123.59","calculable","2026-06-11T11:14:42.801Z"
"naver-card-10304-balanced_100","naver-card-10304","balanced_100","균형 100만원","1000000","naver-card-10304-tier-1-0","3033.6900000000005","1666.6666666666667","1367.0233333333338","0.1367","20000","3033.6900000000005","calculable","2026-06-11T11:14:42.801Z"
"naver-card-10304-balanced_120","naver-card-10304","balanced_120","균형 120만원","1200000","naver-card-10304-tier-1-0","3640.46","1666.6666666666667","1973.7933333333333","0.1645","20000","3640.46","calculable","2026-06-11T11:14:42.801Z"
"naver-card-10623-balanced_30","naver-card-10623","balanced_30","균형 30만원","300000","naver-card-10623-tier-1-0","370.8","2500","0","0","10000","370.8","calculable","2026-06-11T11:14:42.801Z"
"naver-card-10623-balanced_50","naver-card-10623","balanced_50","균형 50만원","500000","naver-card-10623-tier-1-0","617.94","2500","0","0","10000","617.94","calculable","2026-06-11T11:14:42.801Z"
"naver-card-10623-balanced_70","naver-card-10623","balanced_70","균형 70만원","700000","naver-card-10623-tier-1-0","865.14","2500","0","0","10000","865.14","calculable","2026-06-11T11:14:42.801Z"
"naver-card-10623-balanced_100","naver-card-10623","balanced_100","균형 100만원","1000000","naver-card-10623-tier-1-0","1235.9","2500","0","0","10000","1235.9","calculable","2026-06-11T11:14:42.801Z"
"naver-card-10623-balanced_120","naver-card-10623","balanced_120","균형 120만원","1200000","naver-card-10623-tier-1-0","1483.16","2500","0","0","10000","1483.16","calculable","2026-06-11T11:14:42.801Z"
