"tier_id","card_id","min_spend","max_spend","total_monthly_cap","tier_label","channel_caps","cap_period","exported_at"
"naver-card-10304-tier-1-0","naver-card-10304","0","","20000","실적 조건 없음","","month","2026-06-11T11:14:42.801Z"
"naver-card-10623-tier-1-0","naver-card-10623","0","","10000","실적 조건 없음","","month","2026-06-11T11:14:42.801Z"
"naver-card-1530-tier-1-300000","naver-card-1530","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10333-tier-1-300000","naver-card-10333","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10105-tier-1-0","naver-card-10105","0","","20000","실적 조건 없음","","month","2026-06-11T11:14:42.801Z"
"naver-card-10615-tier-1-0","naver-card-10615","0","","20000","실적 조건 없음","","month","2026-06-11T11:14:42.801Z"
"naver-card-10375-tier-1-0","naver-card-10375","0","","20000","실적 조건 없음","","month","2026-06-11T11:14:42.801Z"
"naver-card-10176-tier-1-0","naver-card-10176","0","","10000","실적 조건 없음","","month","2026-06-11T11:14:42.801Z"
"naver-card-10141-tier-1-500000","naver-card-10141","500000","","32000","50만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10157-tier-1-0","naver-card-10157","0","","20000","실적 조건 없음","","month","2026-06-11T11:14:42.801Z"
"naver-card-10307-tier-1-400000","naver-card-10307","400000","","10000","40만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-1531-tier-1-0","naver-card-1531","0","","20000","실적 조건 없음","","month","2026-06-11T11:14:42.801Z"
"naver-card-10309-tier-1-300000","naver-card-10309","300000","","10000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10452-tier-1-200000","naver-card-10452","200000","","20000","20만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10522-tier-1-400000","naver-card-10522","400000","","20000","40만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10332-tier-1-300000","naver-card-10332","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10102-tier-1-300000","naver-card-10102","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-1294-tier-1-300000","naver-card-1294","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10343-tier-1-500000","naver-card-10343","500000","","32000","50만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-1684-tier-1-300000","naver-card-1684","300000","","10000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10310-tier-1-400000","naver-card-10310","400000","","10000","40만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10216-tier-1-400000","naver-card-10216","400000","","20000","40만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-115-tier-1-300000","naver-card-115","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-1408-tier-1-300000","naver-card-1408","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10611-tier-1-300000","naver-card-10611","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10612-tier-1-500000","naver-card-10612","500000","","28000","50만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10358-tier-1-400000","naver-card-10358","400000","","20000","40만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-2337-tier-1-300000","naver-card-2337","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10286-tier-1-500000","naver-card-10286","500000","","16000","50만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10616-tier-1-0","naver-card-10616","0","","20000","실적 조건 없음","","month","2026-06-11T11:14:42.801Z"
"naver-card-10303-tier-1-0","naver-card-10303","0","","20000","실적 조건 없음","","month","2026-06-11T11:14:42.801Z"
"naver-card-1322-tier-1-300000","naver-card-1322","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10218-tier-1-400000","naver-card-10218","400000","","20000","40만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10045-tier-1-300000","naver-card-10045","300000","","20000","30만원 이상","","month","2026-06-11T11:14:42.801Z"
"naver-card-10108-tier-1-400000","naver-card-10108","400000","","15000","40만원 이상","","month","2026-06-11T11:14:42.801Z"
