"exclusion_id","card_id","scope","item","benefit_id","exported_at"
"naver-card-10304-shopping-0-exclusion-1","naver-card-10304","benefit","상품권","naver-card-10304-shopping-0","2026-06-11T11:14:42.801Z"
"naver-card-10304-shopping-0-exclusion-2","naver-card-10304","benefit","선불카드 충전","naver-card-10304-shopping-0","2026-06-11T11:14:42.801Z"
"naver-card-10304-shopping-0-exclusion-3","naver-card-10304","benefit","세금","naver-card-10304-shopping-0","2026-06-11T11:14:42.801Z"
"naver-card-10304-shopping-0-exclusion-4","naver-card-10304","benefit","공과금","naver-card-10304-shopping-0","2026-06-11T11:14:42.801Z"
"naver-card-10304-shopping-0-exclusion-5","naver-card-10304","benefit","연회비","naver-card-10304-shopping-0","2026-06-11T11:14:42.801Z"
"naver-card-10304-shopping-0-exclusion-6","naver-card-10304","benefit","수수료","naver-card-10304-shopping-0","2026-06-11T11:14:42.801Z"
"naver-card-10304-ott-1-exclusion-1","naver-card-10304","benefit","상품권","naver-card-10304-ott-1","2026-06-11T11:14:42.801Z"
"naver-card-10304-ott-1-exclusion-2","naver-card-10304","benefit","선불카드 충전","naver-card-10304-ott-1","2026-06-11T11:14:42.801Z"
"naver-card-10304-ott-1-exclusion-3","naver-card-10304","benefit","세금","naver-card-10304-ott-1","2026-06-11T11:14:42.801Z"
"naver-card-10304-ott-1-exclusion-4","naver-card-10304","benefit","공과금","naver-card-10304-ott-1","2026-06-11T11:14:42.801Z"
"naver-card-10304-ott-1-exclusion-5","naver-card-10304","benefit","연회비","naver-card-10304-ott-1","2026-06-11T11:14:42.801Z"
"naver-card-10304-ott-1-exclusion-6","naver-card-10304","benefit","수수료","naver-card-10304-ott-1","2026-06-11T11:14:42.801Z"
"naver-card-10304-medical-2-exclusion-1","naver-card-10304","benefit","상품권","naver-card-10304-medical-2","2026-06-11T11:14:42.801Z"
"naver-card-10304-medical-2-exclusion-2","naver-card-10304","benefit","선불카드 충전","naver-card-10304-medical-2","2026-06-11T11:14:42.801Z"
"naver-card-10304-medical-2-exclusion-3","naver-card-10304","benefit","세금","naver-card-10304-medical-2","2026-06-11T11:14:42.801Z"
"naver-card-10304-medical-2-exclusion-4","naver-card-10304","benefit","공과금","naver-card-10304-medical-2","2026-06-11T11:14:42.801Z"
"naver-card-10304-medical-2-exclusion-5","naver-card-10304","benefit","연회비","naver-card-10304-medical-2","2026-06-11T11:14:42.801Z"
"naver-card-10304-medical-2-exclusion-6","naver-card-10304","benefit","수수료","naver-card-10304-medical-2","2026-06-11T11:14:42.801Z"
"naver-card-10304-etc-3-exclusion-1","naver-card-10304","benefit","상품권","naver-card-10304-etc-3","2026-06-11T11:14:42.801Z"
"naver-card-10304-etc-3-exclusion-2","naver-card-10304","benefit","선불카드 충전","naver-card-10304-etc-3","2026-06-11T11:14:42.801Z"
"naver-card-10304-etc-3-exclusion-3","naver-card-10304","benefit","세금","naver-card-10304-etc-3","2026-06-11T11:14:42.801Z"
"naver-card-10304-etc-3-exclusion-4","naver-card-10304","benefit","공과금","naver-card-10304-etc-3","2026-06-11T11:14:42.801Z"
"naver-card-10304-etc-3-exclusion-5","naver-card-10304","benefit","연회비","naver-card-10304-etc-3","2026-06-11T11:14:42.801Z"
"naver-card-10304-etc-3-exclusion-6","naver-card-10304","benefit","수수료","naver-card-10304-etc-3","2026-06-11T11:14:42.801Z"
"naver-card-10304-convenience-4-exclusion-1","naver-card-10304","benefit","상품권","naver-card-10304-convenience-4","2026-06-11T11:14:42.801Z"
"naver-card-10304-convenience-4-exclusion-2","naver-card-10304","benefit","선불카드 충전","naver-card-10304-convenience-4","2026-06-11T11:14:42.801Z"
"naver-card-10304-convenience-4-exclusion-3","naver-card-10304","benefit","세금","naver-card-10304-convenience-4","2026-06-11T11:14:42.801Z"
"naver-card-10304-convenience-4-exclusion-4","naver-card-10304","benefit","공과금","naver-card-10304-convenience-4","2026-06-11T11:14:42.801Z"
"naver-card-10304-convenience-4-exclusion-5","naver-card-10304","benefit","연회비","naver-card-10304-convenience-4","2026-06-11T11:14:42.801Z"
"naver-card-10304-convenience-4-exclusion-6","naver-card-10304","benefit","수수료","naver-card-10304-convenience-4","2026-06-11T11:14:42.801Z"
"naver-card-10304-common-exclusion-1","naver-card-10304","common","상품권","","2026-06-11T11:14:42.801Z"
"naver-card-10304-common-exclusion-2","naver-card-10304","common","선불카드 충전","","2026-06-11T11:14:42.801Z"
"naver-card-10304-common-exclusion-3","naver-card-10304","common","세금","","2026-06-11T11:14:42.801Z"
