"table_name","column_name","data_type","required","description"
"cards","card_id","text","Y","내부 카드 ID"
"cards","source_card_id","text","N","원본 서비스 카드 ID"
"cards","card_name","text","Y","카드명"
"cards","issuer","text","Y","카드사"
"cards","card_type","text","Y","credit/check"
"cards","status","text","Y","active/discontinued/unknown"
"cards","review_status","text","Y","draft/needs_review/verified"
"cards","summary","text","N","카드 요약"
"cards","annual_fee","integer","N","대표 연회비"
"cards","previous_spend","integer","N","대표 전월실적"
"cards","advertised_benefit","text","N","광고/요약 혜택 문구"
"cards","monthly_cap","integer","N","대표 월 통합한도. 구간형 카드는 최대 구간 한도"
"cards","last_verified_at","date","N","마지막 검증일"
"cards","best_for","text","N","추천 소비 유형"
"cards","cautions","text","N","주의사항"
"cards","strengths","text","N","장점"
"cards","weaknesses","text","N","단점"
"card_sources","source_id","text","Y","출처 ID"
"card_sources","card_id","text","Y","카드 ID"
"card_sources","source_type","text","Y","issuer_page/issuer_pdf/public_disclosure/editorial_reference 등"
"card_sources","source_title","text","N","출처 제목"
"card_sources","source_url","text","Y","출처 URL"
"card_sources","captured_at","datetime","N","수집 시각"
"card_performance_rules","performance_rule_id","text","Y","실적 조건 ID"
"card_performance_rules","card_id","text","Y","카드 ID"
"card_performance_rules","base_spend_amount","integer","N","전월실적 금액"
"card_performance_rules","base_spend_period","text","N","직전 1개월 등"
"card_performance_rules","base_spend_method","text","N","합계/평균"
"card_performance_rules","discounted_spend_counts_for_performance","text","N","할인 매출 실적 포함 여부"
"card_performance_rules","discounted_spend_count_ratio","decimal","N","할인 매출 실적 반영률"
"card_cap_tiers","tier_id","text","Y","한도 구간 ID"
"card_cap_tiers","card_id","text","Y","카드 ID"
"card_cap_tiers","min_spend","integer","Y","구간 최소 사용액"
"card_cap_tiers","max_spend","integer","N","구간 최대 사용액. null이면 이상"
"card_cap_tiers","total_monthly_cap","integer","Y","해당 구간 통합 월 한도"
"card_cap_tiers","tier_label","text","N","구간 표시명"
"card_cap_tiers","channel_caps","json_text","N","온라인/오프라인 등 채널별 한도"
"card_benefit_rules","benefit_id","text","Y","혜택 규칙 ID"
"card_benefit_rules","card_id","text","Y","카드 ID"
"card_benefit_rules","category","text","Y","혜택 카테고리"
"card_benefit_rules","benefit_name","text","Y","혜택명"
"card_benefit_rules","reward_type","text","Y","discount/cashback/point/mileage"
"card_benefit_rules","reward_rate","decimal","N","혜택률"
"card_benefit_rules","fixed_reward_amount","integer","N","정액 혜택"
"card_benefit_rules","monthly_cap","integer","N","개별 혜택 월 한도"
"card_benefit_rules","min_transaction_amount","integer","N","건당 최소 결제액"
"card_benefit_rules","previous_month_spend_required","integer","N","혜택별 실적 조건"
"card_benefit_rules","merchant_scope","text","N","적용 가맹점/범위"
"card_benefit_rules","discounted_spend_counts_for_performance","text","N","실적 포함 여부"
"card_cap_groups","cap_group_id","text","Y","한도 그룹 ID"
"card_cap_groups","card_id","text","Y","카드 ID"
"card_cap_groups","group_name","text","Y","한도 그룹명"
"card_cap_groups","tier_id","text","N","연결 한도 구간"
"card_cap_groups","group_monthly_cap","integer","N","그룹 월 한도"
"card_cap_groups","included_benefit_ids","text","N","그룹에 묶인 혜택 ID 목록"
"card_cap_groups","is_separate_from_main_cap","boolean","Y","통합한도와 별도 여부"
"card_exclusions","exclusion_id","text","Y","제외조건 ID"
"card_exclusions","card_id","text","Y","카드 ID"
"card_exclusions","scope","text","Y","performance/benefit/common"
"card_exclusions","item","text","Y","제외 항목"
"card_raw_snapshots","snapshot_id","text","Y","원본 스냅샷 ID"
"card_raw_snapshots","card_id","text","Y","카드 ID"
"card_raw_snapshots","raw_source","text","N","원본 종류"
"card_raw_snapshots","raw_url","text","N","원본 URL"
"card_raw_snapshots","raw_text_hash","text","N","원문 해시"
"card_calculation_summaries","calculation_id","text","Y","계산 요약 ID"
"card_calculation_summaries","card_id","text","Y","카드 ID"
"card_calculation_summaries","scenario_id","text","Y","소비 시나리오 ID"
"card_calculation_summaries","monthly_spend","integer","Y","월 사용액"
"card_calculation_summaries","applied_tier_id","text","N","적용 한도 구간 ID"
"card_calculation_summaries","gross_monthly_saving","integer","N","연회비 차감 전 월 혜택"
"card_calculation_summaries","monthly_fee","integer","N","연회비 월할"
"card_calculation_summaries","net_monthly_saving","integer","N","월 순혜택"
"card_calculation_summaries","picking_rate","decimal","N","순혜택 기준 피킹률"
"card_calculation_summaries","calculation_status","text","Y","calculable/partial/manual_required"
