"tier_id","card_id","min_spend","max_spend","total_monthly_cap","tier_label","channel_caps","extraction_confidence","source_text","exported_at"
"naver-card-10623-tier-1-0","naver-card-10623","0","","100000","조건 없음","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10304-tier-1-0","naver-card-10304","0","","20000","조건 없음","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-1530-tier-1-300000","naver-card-1530","300000","","5000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-115-tier-1-300000","naver-card-115","300000","","100000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10216-tier-1-400000","naver-card-10216","400000","","5000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10332-tier-1-300000","naver-card-10332","300000","","20000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-1408-tier-1-300000","naver-card-1408","300000","","50000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10375-tier-1-0","naver-card-10375","0","","20000","조건 없음","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10141-tier-1-500000","naver-card-10141","500000","","20000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-1684-tier-1-300000","naver-card-1684","300000","","10000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10309-tier-1-300000","naver-card-10309","300000","","20000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10307-tier-1-800000","naver-card-10307","800000","","13000","80만원 이상","","0.75","이용금액 80만원 이상 : 13,000원 할인","2026-06-11T13:04:13.065Z"
"naver-card-3881-tier-1-300000","naver-card-3881","300000","","15000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-3896-tier-1-300000","naver-card-3896","300000","","300000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-1695-tier-1-300000","naver-card-1695","300000","","5000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-1597-tier-1-300000","naver-card-1597","300000","","300000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10157-tier-1-0","naver-card-10157","0","","100000","조건 없음","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10102-tier-1-300000","naver-card-10102","300000","","10000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10343-tier-1-500000","naver-card-10343","500000","","300000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-3717-tier-1-500000","naver-card-3717","500000","","4000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-1451-tier-1-300000","naver-card-1451","300000","","5000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10566-tier-1-800000","naver-card-10566","800000","","5000","80만원 이상","","0.75","80만원 이상: 5천원 할인","2026-06-11T13:04:13.065Z"
"naver-card-10107-tier-1-400000","naver-card-10107","400000","","10000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10108-tier-1-400000","naver-card-10108","400000","","10000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10106-tier-1-400000","naver-card-10106","400000","","10000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10071-tier-1-400000","naver-card-10071","400000","","10000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10310-tier-1-400000","naver-card-10310","400000","","20000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-2337-tier-1-300000","naver-card-2337","300000","","150000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-1571-tier-1-500000","naver-card-1571","500000","","300000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10355-tier-1-300000","naver-card-10355","300000","","300000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10029-tier-1-750000","naver-card-10029","750000","","20000","75만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10462-tier-1-400000","naver-card-10462","400000","","35000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10126-tier-1-500000","naver-card-10126","500000","","5000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10237-tier-1-500000","naver-card-10237","500000","","5000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10523-tier-1-300000","naver-card-10523","300000","","300000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-2348-tier-1-300000","naver-card-2348","300000","","300000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10485-tier-1-400000","naver-card-10485","400000","","10000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10490-tier-1-400000","naver-card-10490","400000","","10000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10402-tier-1-400000","naver-card-10402","400000","","1000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10327-tier-1-400000","naver-card-10327","400000","","10000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10409-tier-1-500000","naver-card-10409","500000","","90000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10444-tier-1-400000","naver-card-10444","400000","","30000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-1292-tier-1-300000","naver-card-1292","300000","","300000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10201-tier-1-300000","naver-card-10201","300000","","300000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10345-tier-1-300000","naver-card-10345","300000","","50000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10286-tier-1-500000","naver-card-10286","500000","","1000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10045-tier-1-300000","naver-card-10045","300000","","300000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10612-tier-1-500000","naver-card-10612","500000","","5000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10592-tier-1-400000","naver-card-10592","400000","","15000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10536-tier-1-500000","naver-card-10536","500000","","1500","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10593-tier-1-0","naver-card-10593","0","","10000","조건 없음","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10512-tier-1-500000","naver-card-10512","500000","","4000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10403-tier-1-0","naver-card-10403","0","","12000","조건 없음","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10344-tier-1-300000","naver-card-10344","300000","","11000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10492-tier-1-500000","naver-card-10492","500000","","36000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10538-tier-1-500000","naver-card-10538","500000","","50000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10376-tier-1-400000","naver-card-10376","400000","","5000","40만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10580-tier-1-500000","naver-card-10580","500000","","100000","50만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
"naver-card-10348-tier-1-300000","naver-card-10348","300000","","7000","30만원 이상","","0.75","fallback_from_existing_normalized_card","2026-06-11T13:04:13.065Z"
