"card_id","source_card_id","card_name","issuer","card_type","status","refine_status","confidence_score","summary","annual_fee","annual_fee_domestic","annual_fee_foreign","annual_fee_family","base_spend_amount","max_monthly_cap","released_at","card_image_url","detail_url","apply_url_present","exported_at"
"naver-card-10623","10623","카드의정석2 SUPER","우리","credit","active_or_unknown","ready_for_review","100","결제 센스 레벨업하면, SUPER 혜택이 완성!","30000","30000","30000","","0","100000","2026-04-16","https://vertical.pstatic.net/vertical-cardad/creatives/WR/10623/WR_10623_20260511-212202_ver.png","https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=500044&canvasser=88801075&utm_source=naver_cs&utm_medium=cpc&utm_campaign=M_카드섹션&utm_content=%EC%B9%B4%EB%93%9C%EC%9D%98%EC%A0%95%EC%84%9D2%20SUPER","true","2026-06-11T13:04:13.065Z"
"naver-card-10304","10304","디지로카 London","롯데","credit","active_or_unknown","ready_for_review","100","결제 방식도 취향에 맞게! 최대 1.7% 캐시백","20000","20000","20000","13000","0","20000","2023-10-17","https://vertical.pstatic.net/vertical-cardad/creatives/LO/10304/LO_10304_20231114-020043_ver.png","http://m.lottecard.co.kr/spa/card/booth?bId=92357&vtCdKndC=P14718-A14718&npayUseYn=Y&utm_source=sa_naver_cs&utm_medium=cpc&utm_campaign=m_card_application&utm_content=digilocalondon&utm_term=디지로카런던","true","2026-06-11T13:04:13.065Z"
"naver-card-1530","1530","삼성카드 taptap O","삼성","credit","active_or_unknown","ready_for_review","100","연 최대 36만원 할인, 믿고 선택하는 카드","10000","10000","10000","","300000","5000","2016-04-11","https://vertical.pstatic.net/vertical-cardad/creatives/SS/1530/SS_1530_20241101-100614_ver.png","https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1483&alncmpC=QACDMB05&affcode=QACDMB05&BSCPN=BCTS&BSPRG=MNAVERCARD&BSCCN1=MB_%EC%8B%A0%EA%B2%80_AAP1483_%EC%82%BC%EC%84%B1%EC%B9%B4%EB%93%9C%20taptap%20O&utm_campaign=%EC%82%BC%EC%84%B1%EC%B9%B4%EB%93%9C%20taptap%20O&utm_medium=CSA&utm_source=%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C%20%EA%B2%80%EC%83%89%20%EB%AA%A8%EB%B0%94%EC%9D%BC&utm_term={query}","true","2026-06-11T13:04:13.065Z"
"naver-card-115","115","KB국민 굿데이카드","KB국민","credit","active_or_unknown","ready_for_review","80","주유·교통·외식 등 일상생활 청구할인은 굿데이!","5000","5000","10000","","300000","100000","2008-08-26","https://vertical.pstatic.net/vertical-cardad/creatives/KB/115/KB_115_20230125-142026_hor.png","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=09061&mainCC=b","true","2026-06-11T13:04:13.065Z"
"naver-card-10216","10216","KB국민 My WE:SH 카드","KB국민","credit","active_or_unknown","ready_for_review","100","나만을 위한 KB PayㆍOTT 등 할인 카드","15000","15000","15000","","400000","5000","2022-12-26","https://vertical.pstatic.net/vertical-cardad/creatives/KB/10216/KB_10216_20250801-081714_ver.png","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=09923&mainCC=b","true","2026-06-11T13:04:13.065Z"
"naver-card-10332","10332","KB국민 WE:SH Travel 카드","KB국민","credit","active_or_unknown","ready_for_review","100","해외이용 환율 우대100% 해주는 여행맞춤카드","25000","25000","25000","","300000","20000","2024-04-08","https://vertical.pstatic.net/vertical-cardad/creatives/KB/10332/KB_10332_20240829-110648_ver.png","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=09561","true","2026-06-11T13:04:13.065Z"
"naver-card-10105","10105","LOCA LIKIT 1.2","롯데","credit","active_or_unknown","partial_review","65","실적·할인한도 없이 1.2% 할인","10000","10000","10000","","0","","2021-09-15","https://vertical.pstatic.net/vertical-cardad/creatives/LO/10105/LO_10105_20211111-160041_ver.png","http://m.lottecard.co.kr/spa/card/booth?bId=102808&vtCdKndC=P13937-A13937&npayUseYn=Y&utm_source=sa_naver_cs&utm_medium=cpc&utm_campaign=m_card_application_cashback&utm_content=localikit12&utm_term=%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C","true","2026-06-11T13:04:13.065Z"
"naver-card-1408","1408","신한카드 Mr.Life","신한","credit","active_or_unknown","ready_for_review","100","Mr.Life와 함께하는 실속있는 할인라이프","15000","15000","18000","","300000","50000","2015-07-27","https://vertical.pstatic.net/vertical-cardad/creatives/SH/1408/SH_1408_20230213-143750_ver.png","https://www.shinhancard.com/pconts/html/card/apply/credit/1187937_2207.html?EntryLoc1=2774&empSeq=502&btnApp=Dp1&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mobile_mrlife","true","2026-06-11T13:04:13.065Z"
"naver-card-1294","1294","KB국민 굿데이올림카드","KB국민","credit","active_or_unknown","ready_for_review","80","혜택가득! 대형마트, 통신 10% 청구할인 카드","20000","","20000","","300000","","2015-02-12","https://vertical.pstatic.net/vertical-cardad/creatives/KB/1294/KB_1294_20230308-153427_hor.png","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=09063&mainCC=b","true","2026-06-11T13:04:13.065Z"
"naver-card-10611","10611","KB국민 ALL point 카드","KB국민","credit","active_or_unknown","partial_review","70","전월 실적 없이 심플하게 적립하고, 할인혜택까지","20000","","20000","","300000","","2015-03-24","https://vertical.pstatic.net/vertical-cardad/creatives/KB/10611/KB_10611_20260514-155627_ver.png","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=09162&solicitorcode=7030023030&jehuId=NPAY","true","2026-06-11T13:04:13.065Z"
