"exclusion_id","card_id","scope","item","exported_at"
"naver-card-10623-exclusion-1","naver-card-10623","raw_detected","상품권","2026-06-11T13:04:13.065Z"
"naver-card-10623-exclusion-2","naver-card-10623","raw_detected","선불카드","2026-06-11T13:04:13.065Z"
"naver-card-10623-exclusion-3","naver-card-10623","raw_detected","기프트카드","2026-06-11T13:04:13.065Z"
"naver-card-10623-exclusion-4","naver-card-10623","raw_detected","국세","2026-06-11T13:04:13.065Z"
"naver-card-10623-exclusion-5","naver-card-10623","raw_detected","지방세","2026-06-11T13:04:13.065Z"
"naver-card-10623-exclusion-6","naver-card-10623","raw_detected","공과금","2026-06-11T13:04:13.065Z"
"naver-card-10623-exclusion-7","naver-card-10623","raw_detected","연회비","2026-06-11T13:04:13.065Z"
"naver-card-10623-exclusion-8","naver-card-10623","raw_detected","수수료","2026-06-11T13:04:13.065Z"
"naver-card-10623-exclusion-9","naver-card-10623","raw_detected","무이자할부","2026-06-11T13:04:13.065Z"
"naver-card-10623-exclusion-10","naver-card-10623","raw_detected","현금서비스","2026-06-11T13:04:13.065Z"
"naver-card-10623-exclusion-11","naver-card-10623","raw_detected","카드론","2026-06-11T13:04:13.065Z"
"naver-card-10304-exclusion-1","naver-card-10304","raw_detected","상품권","2026-06-11T13:04:13.065Z"
"naver-card-10304-exclusion-2","naver-card-10304","raw_detected","선불카드","2026-06-11T13:04:13.065Z"
"naver-card-10304-exclusion-3","naver-card-10304","raw_detected","국세","2026-06-11T13:04:13.065Z"
"naver-card-10304-exclusion-4","naver-card-10304","raw_detected","지방세","2026-06-11T13:04:13.065Z"
"naver-card-10304-exclusion-5","naver-card-10304","raw_detected","공과금","2026-06-11T13:04:13.065Z"
"naver-card-10304-exclusion-6","naver-card-10304","raw_detected","아파트관리비","2026-06-11T13:04:13.065Z"
"naver-card-10304-exclusion-7","naver-card-10304","raw_detected","대학등록금","2026-06-11T13:04:13.065Z"
"naver-card-10304-exclusion-8","naver-card-10304","raw_detected","연회비","2026-06-11T13:04:13.065Z"
"naver-card-10304-exclusion-9","naver-card-10304","raw_detected","수수료","2026-06-11T13:04:13.065Z"
"naver-card-10304-exclusion-10","naver-card-10304","raw_detected","무이자할부","2026-06-11T13:04:13.065Z"
