"review_id","card_id","refine_status","confidence_score","review_reasons","cap_tier_count","benefit_rule_count","low_confidence_benefit_rule_count","exclusion_count","exported_at"
"naver-card-10623-review","naver-card-10623","ready_for_review","100","","1","17","4","11","2026-06-11T13:04:13.065Z"
"naver-card-10304-review","naver-card-10304","ready_for_review","100","","1","279","3","12","2026-06-11T13:04:13.065Z"
"naver-card-1530-review","naver-card-1530","ready_for_review","100","","1","103","0","8","2026-06-11T13:04:13.065Z"
"naver-card-115-review","naver-card-115","ready_for_review","80","benefit_rules_weak","1","19","0","11","2026-06-11T13:04:13.065Z"
"naver-card-10216-review","naver-card-10216","ready_for_review","100","","1","221","0","11","2026-06-11T13:04:13.065Z"
"naver-card-10332-review","naver-card-10332","ready_for_review","100","","1","64","0","12","2026-06-11T13:04:13.065Z"
"naver-card-10105-review","naver-card-10105","partial_review","65","cap_tiers_missing | performance_inclusion_unknown | monthly_cap_unclear","0","86","0","13","2026-06-11T13:04:13.065Z"
"naver-card-1408-review","naver-card-1408","ready_for_review","100","","1","120","4","6","2026-06-11T13:04:13.065Z"
"naver-card-1294-review","naver-card-1294","ready_for_review","80","cap_tiers_missing","0","44","0","9","2026-06-11T13:04:13.065Z"
"naver-card-10611-review","naver-card-10611","partial_review","70","cap_tiers_missing | monthly_cap_unclear","0","40","4","8","2026-06-11T13:04:13.065Z"
"naver-card-10375-review","naver-card-10375","ready_for_review","100","","1","145","0","12","2026-06-11T13:04:13.065Z"
"naver-card-10303-review","naver-card-10303","partial_review","70","cap_tiers_missing | monthly_cap_unclear","0","90","0","13","2026-06-11T13:04:13.065Z"
"naver-card-10305-review","naver-card-10305","ready_for_review","80","cap_tiers_missing","0","128","16","13","2026-06-11T13:04:13.065Z"
"naver-card-10141-review","naver-card-10141","ready_for_review","95","performance_inclusion_unknown","1","67","15","13","2026-06-11T13:04:13.065Z"
"naver-card-10615-review","naver-card-10615","partial_review","70","cap_tiers_missing | monthly_cap_unclear","0","126","0","12","2026-06-11T13:04:13.065Z"
"naver-card-1684-review","naver-card-1684","ready_for_review","95","performance_inclusion_unknown","1","13","5","3","2026-06-11T13:04:13.065Z"
"naver-card-10309-review","naver-card-10309","ready_for_review","100","","1","9","0","12","2026-06-11T13:04:13.065Z"
"naver-card-10307-review","naver-card-10307","ready_for_review","100","","1","9","0","13","2026-06-11T13:04:13.065Z"
"naver-card-1531-review","naver-card-1531","partial_review","70","cap_tiers_missing | monthly_cap_unclear","0","34","0","7","2026-06-11T13:04:13.065Z"
"naver-card-2776-review","naver-card-2776","partial_review","70","cap_tiers_missing | monthly_cap_unclear","0","86","0","8","2026-06-11T13:04:13.065Z"
"naver-card-3881-review","naver-card-3881","ready_for_review","100","","1","42","0","11","2026-06-11T13:04:13.065Z"
"naver-card-3896-review","naver-card-3896","ready_for_review","100","","1","36","0","11","2026-06-11T13:04:13.065Z"
"naver-card-1695-review","naver-card-1695","ready_for_review","100","","1","32","5","8","2026-06-11T13:04:13.065Z"
"naver-card-3857-review","naver-card-3857","ready_for_review","80","cap_tiers_missing","0","34","0","12","2026-06-11T13:04:13.065Z"
"naver-card-1597-review","naver-card-1597","ready_for_review","100","","1","10","2","8","2026-06-11T13:04:13.065Z"
"naver-card-10157-review","naver-card-10157","ready_for_review","100","","1","70","4","11","2026-06-11T13:04:13.065Z"
"naver-card-10102-review","naver-card-10102","ready_for_review","100","","1","59","0","11","2026-06-11T13:04:13.065Z"
"naver-card-10522-review","naver-card-10522","ready_for_review","80","cap_tiers_missing","0","138","0","12","2026-06-11T13:04:13.065Z"
"naver-card-10343-review","naver-card-10343","ready_for_review","100","","1","58","4","11","2026-06-11T13:04:13.065Z"
"naver-card-10328-review","naver-card-10328","ready_for_review","80","cap_tiers_missing","0","23","2","11","2026-06-11T13:04:13.065Z"
"naver-card-3717-review","naver-card-3717","ready_for_review","100","","1","119","0","12","2026-06-11T13:04:13.065Z"
"naver-card-3638-review","naver-card-3638","partial_review","70","cap_tiers_missing | monthly_cap_unclear","0","37","0","12","2026-06-11T13:04:13.065Z"
