"text_block_id","card_id","block_type","text_length","text_hash","source_text","exported_at"
"naver-card-10623-text-3","naver-card-10623","rate_notices","280","c4cd590d6f30ecb71b0606390854c068dcbe4259fb526aa42f5795a8fe986368","※ 연체이율:회원별/이용상품별 정상이자율 + 최대 연3%(법정 최고금리 연20% 이내) 단, 연체 발생 시점에 정상이자율이 없는 경우는 아래와 같이 적용함 - 일시불 거래 연체 시 : 거래발생 시점의 최소기간(2개월)유이자 할부 금리 - 무이자 할부 거래 연체 시 : 거래 발생 시점의 동일한 할부 계약기간의 유이자 할부 금리 - 그 외의 경우 : 상사법정이율과 상호금융 가계자금 대출 금리* 중 높은 금리적용 * 한국은행에서 매월 발표하는 가장 최근의 비은행 금융기관 가중평균대출금리(신규대출 기준)","2026-06-11T13:04:13.065Z"
"naver-card-10623-text-4","naver-card-10623","benefit_notices","619","9a6489b23fd60f8a2b3f582129a49ed7e1ed194184cd00dfc7093b00ca27e2bc","상품 출시일 및 부가서비스 변경 안내 상품 출시일 : 2026년 4월 16일 카드 이용 시 제공되는 할인혜택 등의 부가서비스는 카드 신규 출시 이후 3년 이상 축소·폐지 없이 유지됩니다. 상기에도 불구하고 다음과 같은 사유가 발생한 경우 카드사는 부가서비스를 변경할 수 있습니다. ① 카드사의 휴업·파산·경영상의 위기 등에 따른 불가피한 경우 ② 제휴업체의 휴업·파산·경영상의 위기로 인해 불가피하게 부가서비스를 축소·변경하는 경우로서 다른 제휴업체를 통해 동종의 유사한 부가서비스 제공이 불가한 경우 ③ 제휴업체가 카드사의 의사에 반하여 해당 부가서비스를 축소하거나 변경 시 당초 부가서비스에 상응하는 다른 부가서비스를 제공하는 경우 ④ 부가서비스를 3년 이상 제공한 상태에서 해당 부가서비스로 인해 상품의 수익성이 현저히 낮아진 경우 - 카드사가 부가서비스를 변경하는 경우 변경사유, 변경내용 등을 아래와 같은 방법으로 사유 발생 즉시 고지하여 드립니다. 다만, 위 ④번 사유로 부가서비스를 변경하는 경우 변경일 6개월 이전부터 매월 고지하여 드립니다. - 고지방법 : 서면 교부, 우편 또는 전자우편, 전화 또는 팩스, 휴대폰 메시지 또는 이에 준하는 전자적 의사표시 중 서로 다른 2가지 이상의 방법","2026-06-11T13:04:13.065Z"
"naver-card-10623-text-5","naver-card-10623","benefits","2551","3c1fdd342a218b379329fef005641ceda0f8b40dbdc40e44163b26d8cfa43140","163 온라인 신규 연회비 100% 캐시백 [기간] 2026년 06월 1일(월) ~ 2026년 06월 30일(화) [대상] 대상카드로 우리카드(신용카드)를 최초로 발급받은 신규회원 ※카드 발급월 및 카드 발급월 직전 6개월 이내 탈회이력 미보유 필수 ※기존 우리카드(신용카드) 소지 회원의 경우 이벤트 대상 제외(가족카드 소지 포함) [내용] 우리카드 홈페이지(PC/모바일/앱)에서 대상카드 발급 후 아래 조건 모두 충족시, 연회비 100% 캐시백 ※ARS 신청 건은 대상에서 제외합니다. ※가족카드는 대상에서 제외됩니다. [조건] ① 우리WON페이에 해당 카드 등록 후, 2026년 7월 31일까지 우리WON페이 5만원 이상 이용하기 ② 카드 신청시, 약관 전체 동의하기 필수 ※ 지급일까지 우리WON페이 등록 및 약관 동의 유지 필수 (지급일 전 해지 시, 캐시백 제공 제외) [지급] 2026년 9월 23일(수) 결제계좌로 입금 ※유의사항 및 지급과 관련한 자세한 내용은 우리카드 홈페이지를 통해 확인하시기 바랍니다. 연회비지원 bene_163.png https://vertical.pstatic.net/vertical-cardad/benefits/icons/bene_163.png 100 percent 1 83 국내 가맹점 2.0% 청구할인 해외 가맹점 2.0% 청구할인 해외수수료 면제 할인 제공 시 유의사항 전월실적 조건 없음, 월 할인한도 국내/해외 가맹점 통합 최대 10만원 ※ 할인 제공 시 유의사항 참고 전월실적 조건 없음, 월 할인한도 국내/해외 가맹점 통합 최대 10만원 ※ 해외 결제 시 별도의 수수료가 발생할 수 있으며, 해당 내용은 '상품 안내장' 참조 ※ 해외 이용 시 청구금액 산출방법 해외 이용 시 청구금액=거래미화금액 ×전신환 매도율* *전신환 매도율 : 접수일의 우리은행 최초고시 전신환 매도율 ∙ 일부 해외 가맹점 거래 시 IC칩 비밀번호(PIN)를 요구하는 경우가 있으므로 출국 전 반드시 IC칩 비밀번호(PIN) 등록 여부를 확인하시기 바랍니다 국제브랜드사 수수료 1% 면제, 해외이용 수수료 0.3% 면제 ※ 전월 실적 조건 없음 ※ 해외수수료 면제 서비스 유의사항 해외 가맹점에서 원화로 결제하면 추가 수수료가 발생할 수 있으므로 현지통화로 결제하는 것이 유리함. 해외 이용 관련 자세한 내용은 상품안내장을 확인 ※ 할인 제외 : 무이자할부금액(부분무이자할부금액 포함), 정부지원금(보육료, 유치원보조비, 바우처 이용금액 등), 아파트 관리비, LH/SH/전북개발공사 등 공공임대료, 부동산임대료, 초·중·고 학교 납부금, 대학(대학원) 등록금, 국세, 지방세, 관세, 공공요금(공과금)*, 상품권(카카오톡 선물하기 등 모바일 상품권 포함)/선불카드(포인트, 사이버머니, 게임머니 등 전자지급 수단 포함)/기프트카드 구매 및 충전금액, 환금성 업종 이용금액, 교통카드(모바일 포함) 구매 및 충전금액, 시외버스 및 고속버스업종, 신차구매금액, 의약품 전용몰/제약회사 업종 이용금액, 각종 수수료 및 이자, 연회비, 단기카드 대출(현금서비스), 장기카드대출(카드론), 매출취소금액 * 공공요금(공과금) 내역 4대보험(건강보험/국민연금/고용보험/산재보험), 전기요금, 우편요금, 도시가스요금, 상하수도요금, 과태료·범칙금·벌금, 여권발급비용, 국가·공공기관·공공단체(지방자치단체 등)로 개설된 가맹점 이용금액 • 할인 및 제외 업종 / 가맹점은 우리카드 전산상 등록기준 • 유이자 할부 결제 건은 이용일 기준으로 전체 이용금액에 대하여 할인 혜택이 제공 • 해외 가맹점 이용금액은 우리카드에 접수되는 현지 매출일자를 기준으로 혜택이 제공되며, 우리카드 에 접수된 후 확인 가능 • 할인 혜택이 제공된 결제 건을 취소하는 경우, 취소 건이 우리카드에 접수된 후(약 2~3일 소요) 할인 한도가 복원 • 우리카드에서 제공하는 다른 프로모션과 중복 적용 불가합니다. 자세한 사항은 우리카드 고객센터 (1588-9955)로 문의하시기 바랍니다. 언제나할인 bene_83.png https://vertical.pstatic.net/vertical-cardad/benefits/icons/bene_83.png 2 percent 2 10020 국내 가맹점 2~3개월 무이자 할부 국내 가맹점 5만원 이상 결제 건 2~3개월 무이자 할부 서비스 전월 실적 조건 없음 ※ 해외 및 일시불 이용 건을 할부로 전환하거나 할부 개월 수를 변경하는 경우 무이자할부 미제공 납부 혜택 bene_10020.png https://vertical.pstatic.net/vertical-cardad/benefits/icons/bene_10020.png 3 month 3 6 마스터카드 플래티넘 기본서비스 Mastercard Platinum 기본서비스 본 상품은 Mastercard 브랜드 발급 시 Mastercard에서 제공하는 Mastercard Platinum 서비스가 제공됩니다 ∙ 국내 특급호텔 F&B 할인 ∙ 국내 특급호텔 객실 및 스파 할인 ∙ 해외 특급호텔 및 리조트 특전 프리미엄 bene_6.png https://vertical.pstatic.net/vertical-cardad/benefits/icons/bene_6.png 0 4","2026-06-11T13:04:13.065Z"
"naver-card-10623-text-6","naver-card-10623","collector_snippets","1309","97e9dd117417fd0e3c094abb15d615b62030fce3c883b545d6fc6613a0220590","내 3만원, 해외 3만원 신규 회원 최대 100% 지급 기준실적 조건없음 혜택요약 국내외 가맹점 2% 청구 할인 해외이용 수수료 최대 1.3% 면제 온라인 신청 주요혜택 연회비지원 언제나할인 납부 혜택 프리미엄 다른 우리 추천카드 카드의정석 SHOPPING+ 신규 회원 최대 100% 지급 카드의정석 EVERY MILE SKYPASS 신규 회원 최대 3만9천원 지급 카드의정석2 SHOPPER 카드 Premium 결제 센스 레벨업하면, SUPER 혜택이 완성! 연회비지원 온라인 신규 연회비 100% 캐시백 온라인 신규 연회비 100% 캐시백 언제나할인 국내 가맹점 2.0% 청구할인 해외 가맹점 2.0% 청구할인 해외수수료 면제 할인 제공 시 유의사항 국내 가맹점 2.0% 청구할인 해외 가맹점 2.0% 청구할인 해외수수료 면제 할인 제공 시 유의사항 납부 혜택 국내 가맹점 2~3개월 네이버 신용카드 정보: 카드의정석2 SUPER 신용카드 카드의정석2 SUPER 공지 전월 실적 조건 없는 SUPER 카드 연회비 국내 3만원, 해외 3만원 신규 회원 최대 100% 지급 기준실적 조건없음 혜택요약 국내외 가맹점 2% 청구 할인 해외이용 수수료 최대 1.3% 면제 온라인 신청 주요혜택 연회비지원 언제나할인 납부 혜택 프리미엄 다른 우리 추천카드 카드의정석 신규 회원 최대 100% 지급 SK 주유 400 우리카드 신규 회원 최대 100% 지급 부가혜택 및 통합할인한도 상품 출시일 및 부가서비스 변경 안내 상품 출시일 : 2026년 4월 16일 카드 이용 시 제공되는 할인혜택 등의 부가서비스는 카드 신규 출시 이후 3년 이상 축소·폐지 없이 유지됩니다. 상기에도 불구하고 다음과 같은 사유가 발생한 경우 카드사는 부가서비스를 변경할 수 있습니다. 정보: 카드의정석2 SUPER 신용카드 카드의정석2 SUPER 공지 전월 실적 조건 없는 SUPER 카드 연회비 국내 3만원, 해외 3만원 신규 회원 최대 100% 지급 기준실적 조건없음 혜택요약 국내외 가맹점 2% 청구 할인 해외이용 수수료 최대 1.3% 면제 온라인 신청 주요혜택 연회비지원 언제나할인 납부 혜택 프리미엄 다른 우리 추천카드 카드의정석 SHOPPING+ 신규 회원 최대 1 KYPASS 신규 회원 최대 3만9천원 지급 카드의정석2 SHOPPER 신규 회원 최대 100% 지급 SK 주유 400 우리카드 신규 회원 최대 100% 지급 우리카드 MILE&amp;POINT 신규 회원 최대 100% 지급 E1 우리카드 신규 회원 최대 100% 지급 우리카드 7CORE 신규 회원 최대 100% 지급 카드의정석 EVERY DISCOUNT 신규 회원 최대 100% 지급 D4카","2026-06-11T13:04:13.065Z"
"naver-card-10304-text-2","naver-card-10304","annual_fee","33","490e7212dd3b5c15e07ef50b88cd857c6c5eccc7189546d03a663c68f4c4f719","MASTERCARD 20000 일반 AMEX 20000 일반","2026-06-11T13:04:13.065Z"
"naver-card-10304-text-3","naver-card-10304","rate_notices","289","76f07750b308df13d91e0a4fc2a6bc0a2d18281dac7abcccd67ac0c2eed398d4","연체이자율: 회원별·이용상품별 약정이율+최대 3%, 법정 최고금리(연 20%) 이내 * 단, 연체 발생 시점에 약정이율이 없는 경우 아래와 같이 약정이율을 적용 - 일시불 거래 연체 시: 거래 발생 시점의 최소기간(2개월) 유이자 할부 금리 - 무이자 할부 거래 연체 시: 거래 발생 시점의 동일한 할부 계약기간의 유이자 할부 금리 - 그 외의 경우: 약정이율은 상법상 상사법정이율과 상호금융 가계자금대출금리*중 높은 금이 적용 *한국은행에서 매월 발표하는 가장 최근의 비은행 금융기관 가중평균대출금리(신규대출 기준)","2026-06-11T13:04:13.065Z"
"naver-card-10304-text-4","naver-card-10304","benefit_notices","1957","b1e6cc36fbad2ab9c913dcba7caa0a4136f7c0165d3182bbaad12136461c67a3","[연회비] 국내전용: 20,000원 해외겸용(MASTER, AMEX): 20,000원 가족카드: 13,000원 [디지로카 London 카드 캐시백 공통기준] 캐시백 혜택은 매달 1일-말일 카드 이용대금에 대해 다음달 25일(휴일인 경우 다음 영업일)에 제공되며, 롯데카드에 등록된 자동납부 계좌로 지급됩니다. 캐시백 지급 후 혜택이 제공된 결제 건 취소 시 지급된 캐시백은 다음 캐시백 제공 시점에 차감됩니다. 다음 캐시백 제공 시점에 차감되는 금액이 지급되는 금액보다큰 경우 모자란 금액은 별도로 청구됩니다. 해외 이용금액은 롯데카드에 접수되는 현지 매출일자를 기준으로 혜택이 제공됩니다. 롯데카드에 등록된 가맹점 및 업종을 기준으로 혜택이 제공됩니다. 한 달 동안 이용한 금액이 다음 달에 결제되는 결제 건은(이동통신 등) 롯데카드에 접수되는 일자를 기준으로 혜택이 제공됩니다. 결제 건 접수 내역은 롯데카드 홈페이지(www.lottecard.co.kr)에서 회원가입 후 MY>이용내역(매출전표)에서 조회할 수 있습니다. 즉시결제 1% 추가 캐시백 혜택과 Weekly 자동결제 1% 추가 캐시백 혜택은 출금일자 기준으로 혜택월이 계산됩니다. 이번 달 이용 건이지만 다음 달에 출금된 경우, 다음 달 캐시백 대상에 포함됩니다. 가족카드 이용금액도 동일한 기준으로 본인회원에게 합산되어 혜택이 제공됩니다 카드 해지 및 연체 시에는 캐시백이 제공되지 않습니다. [캐시백 적용 제외 대상] ① 기본 캐시백, 추가 캐시백 적용 제외 대상 디지로카 London 카드가 아닌 롯데카드 이용금액, 모든 무이자 할부 이용금액 및 나누기 혜택 이용 금액, 국세, 지방세, 수도요금, 도시가스비, 공과금, 건강보험, 국민연금, 고용보험, 산재보험, 초·중·고교납입금, 대학등록금, LH·SH 공사 공공임대료, 부동산 임대로, 장애인 고용부담금, 아파트관리비, 오트·스마트 캐시백 신청이용금액, 기프트·선불카드 충전 및 구매, 포인트충전, 상품권(모바일 상품권 포함)구매, PC방, 귀금속, 대중교통(시내·광역·시외버스, 지하철), 택시, 고속버스, 고속도로 통행요금, 무승인전표(자판기, 터널통행료, 항공 기내 이용), 벌금, 과태료, 민원 발급 수수료, 관세납부, 인지세, 송달료, 단기카드대출(현금서비스), 장기카드대출(카드론), 연회비, 이자 및 각종 수수료 ② 추가 캐시백 제외 대상 롯데카드 이자상품(유이자할부·분할납부 이용금액 및 리볼빙 이용 중 결제한 금액) [LOCA 나누기 혜택 제외 대상] 디지로카 London 카드가 아닌 롯데카드 이용금액, 무이자할부·유이자할부·슬림할부·리볼빙·분할납부 적용된 결제 건, 선결제·부분입금·부분취소·포인트사용 등이 적용된 결제 건, 국세, 지방세, 수도요금, 도시가스비, 공과금, 건강보험, 국민연금, 고용보험, 산재보험, 초·중·고교납입금, 대학등록금, LH·SH 공사 공공임대료, 부동산 임대로, 장애인 고용부담금, 아파트관리비, 오트·스마트 캐시백 신청이용금액, 기프트·선불카드 충전 및 구매, 포인트충전, 상품권(모바일 상품권 포함)구매, PC방, 귀금속, 대중교통(시내·광역·시외버스, 지하철), 택시, 고속버스, 고속도로 통행요금, 무승인전표(자판기, 터널통행료, 항공 기내 이용), 벌금, 과태료, 민원 발급 수수료, 관세납부, 인지세, 송달료, 단기카드대출(현금서비스), 장기카드대출(카드론), 연회비, 이자 및 각종 수수료 [L.POINT] 롯데멤버스㈜ 고객정보 제공에 동의하신 회원에 한하여 L.POINT 회원가입이 가능합니다. L.POINT는 L.POINT 제휴사 이용 시 결제금액에 따라 적립받고 현금처럼 사용가능한 포인트 입니다. ※ 디지로카 London 카드로 결제 시, 롯데카드가 제공하는 L.POINT 적립 서비스가 제공되지 않습니다. 다른 L.POINT 제휴사가 제공하는 L.POINT는 적립 가능합니다. L.POINT의 사용과 적립에 관한 자세한 내용은 L.POINT홈페이지(www.lpoint.com)에서 확인할 수 있습니다.","2026-06-11T13:04:13.065Z"
"naver-card-10304-text-5","naver-card-10304","benefits","34368","bc9e3a2d779d04ceb4bfd8bbed3d54b60d42afbbd7c3c9700319da075564c405","163 신규회원 연회비 100% 캐시백이벤트 롯데카드 온라인 신청 특별 혜택 [혜택 안내] 롯데 개인신용카드 미소지 고객이 본페이지에서 대상카드 신규발급 시 연회비 만큼 캐시백 지급 (발급 첫해 1회 한정) [기간] 2026.05.01(금)~2026.12.31(목) [지급 조건] ① 크레딧케어(알림서비스) 신청 ② 광고성 정보 수신동의 ③ 일부결제금액이월약정(리볼빙) 신청 위 3가지 조건 모두 충족 후 발급월 기준 다음달 20일까지 조건 유지 필수 [참여 방법] ① 크레딧케어 서비스 신청 - 서비스 내용: 카드사용알림(카드결제내역), 금융피해보상, 신용정보 제공 - 월 이용요금: 990원(L.POINT) ※ 크레딧케어 최초 가입시 무료 2개월 적용(무료 종료 기간 영업일 5일전 유료전환 안내 발송) ② 광고성 정보 수신동의 개인(신용)정보 선택적 동의 중 광고성 정보 수신동의 (전화 / 문자 / 서면 / 이메일 / 푸시 택 1) ③ 일부결제금액이월약정(리볼빙) 신청 [캐시백 지급일] 발급월 기준 다음달 말일까지 결제계좌로 입금(이용불가한 개인신용카드 소지중일 경우 대상에서 제외) [일부결제금액 이월약정(리볼빙) 유의사항] ▶수수료율은 회원에 따라 연 4.9% ~ 19.9%(변동금리, 금리산출시점 : 2025년 12월, 26년 3월 기준 평균 이자율 18.35%)가 적용되며 수수료율 산출기준은 기준금리+조정금리 (조정금리는 회원 개인 신용평점, 이용실적등에 따라 차등적용)입니다. 금리정보는 광고게시시점을 기준으로 산정되었으며, 자세한 금리정보는 홈페이지 또는 고객센터로 확인바랍니다. 일부결제금액 이월약정(리볼빙)은 취급수수료 및 중도상환수수료가 없습니다. 일부결제금액 이월약정(리볼빙)의 약정이 부적정한 경우(개인신용평점 낮음 등) 약정이 제한될 수 있습니다. 일부결제금액 이월약정(리볼빙) 이용금액과 이에 수반되는 모든 수수료를 지정된 대금 결제일에 납입하여야 합니다. 일부결제금액 이월약정(리볼빙)의 약정결제비율에 따른 원금과 이자가 함께 결제일에 회원의 결제계좌에서 자동 출금 됩니다. 일부결제금액이월약정을 장기 이용 시 이월한 금액뿐 아니라,매달 카드값의 일부도 계속 이월되므로 상환해야 할 원금이 계속 늘어날 수 있습니다. 연회비지원 bene_163.png https://vertical.pstatic.net/vertical-cardad/benefits/icons/bene_163.png 100 percent 1 62 실적·한도 없이 최대 1.7% 캐시백 [기본 캐시백] 국내 모든 가맹점 0.7%, 해외 모든 이용금액 0.7% 캐시백 지급 실적 조건 및 한도 없이 혜택을 제공합니다. 할부 이용 시 이용일을 기준으로 전체 금액에 대하여 캐시백 혜택이 제공됩니다.( ※ 단, 무이자할부 이용금액은 제외됩니다.) [즉시결제 1% 추가 캐시백] 일시불 이용 후 5일 이내 즉시결제 시 1% 즉시결제란? 카드결제일 전 이용대금에 대해 미리내는 것을 의미합니다. 실적 조건 및 한도 없이 혜택을 제공합니다. 일시불 이용 결제 건 별로 이용 다음날부터 5영업일 이내 즉시결제한 금액 기준으로 혜택이 제공됩니다. 롯데카드앱 또는 홈페이지에서 이용건 별 즉시결제 시에만 제공됩니다. [Weekly 자동결제 1% 추가 캐시백] 일주일 간 일시불 이용금액 자동결제 시 1% 캐시백 지급 Weekly 자동결제란? 디지로카 London 카드를 통해 매주 월요일부터 일요일까지 이용한 금액에 대해 그 다음주 화요일(휴일인 경우 다음 영업일)에 자동 출금되는 서비스 실적 조건 및 한도 없이 혜택을 제공합니다. Weekly 자동결제는 롯데카드 앱에서 신청 가능하며, 자세한 이용 방법은 롯데카드 앱을 확인하세요. 자동 출금일인 매주 화요일(휴일인 경우 다음 영업일) 오전까지 롯데카드에 접수 완료된 건에 대해 자동 출금이 가능합니다.(자동 출금 당일 오전까지 접수 완료되지 않은 건에 한해 다음 자동 출금일에 자동결제 됩니다.) 일주일 간 일시불 합산 이용금액(롯데카드에 접수 완료된 건 기준)이 5만원 이상인 경우에만 자동결제가 됩니다. ※ 캐시백 적용 제외 대상은 자동결제 대상에 미포함 되어 자동결제가 불가합니다. 해당 주차의 결제금액 전액이 출금되어야 혜택이 제공됩니다. ※ 통장잔고부족 등으로 출금 실패 시, 해당 주차의 결제금액은 카드결제일에 청구되며 혜택이 제공되지 않습니다. ※ 즉시결제 1% 추가 캐시백과 Weekly 자동결제 1% 캐시백은 중복 제공되지 않습니다. [캐시백 적용 제외 대상] 하단 부가서비스 및 통합할인한도에서 확인해주세요. 포인트/캐시백 bene_62.png https://vertical.pstatic.net/vertical-cardad/benefits/icons/bene_62.png 0.7 percent 2 123 렌탈 업종 최대 1.7% 캐시백 [기본 캐시백] 국내 모든 가맹점 0.7%, 해외 모든 이용금액 0.7% 캐시백 지급 실적 조건 및 한도 없이 혜택을 제공합니다. 할부 이용 시 이용일을 기준으로 전체 금액에 대하여 캐시백 혜택이 제공됩니다.( ※ 단, 무이자할부 이용금액은 제외됩니다.) [즉시결제 1% 추가 캐시백] 일시불 이용 후 5일 이내 즉시결제 시 1% 즉시결제란? 카드결제일 전 이용대금에 대해 미리내는 것을 의미합니다. 실적 조건 및 한도 없이 혜택을 제공합니다. 일시불 이용 결제 건 별로 이용 다음날부터 5영업일 이내 즉시결제한 금액 기준으로 혜택이 제공됩니다. 롯데카드앱 또는 홈페이지에서 이용건 별 즉시결제 시에만 제공됩니다. [Weekly 자동결제 1% 추가 캐시백] 일주일 간 일시불 이용금액 자동결제 시 1% 캐시백 지급 Weekly 자동결제란? 디지로카 London 카드를 통해 매주 월요일부터 일요일까지 이용한 금액에 대해 그 다음주 화요일(휴일인 경우 다음 영업일)에 자동 출금되는 서비스 실적 조건 및 한도 없이 혜택을 제공합니다. Weekly 자동결제는 롯데카드 앱에서 신청 가능하며, 자세한 이용 방법은 롯데카드 앱을 확인하세요. 자동 출금일인 매주 화요일(휴일인 경우 다음 영업일) 오전까지 롯데카드에 접수 완료된 건에 대해 자동 출금이 가능합니다.(자동 출금 당일 오전까지 접수 완료되지 않은 건에 한해 다음 자동 출금일에 자동결제 됩니다.) 일주일 간 일시불 합산 이용금액(롯데카드에 접수 완료된 건 기준)이 5만원 이상인 경우에만 자동결제가 됩니다. ※ 캐시백 적용 제외 대상은 자동결제 대상에 미포함 되어 자동결제가 불가합니다. 해당 주차의 결제금액 전액이 출금되어야 혜택이 제공됩니다. ※ 통장잔고부족 등으로 출금 실패 시, 해당 주차의 결제금액은 카드결제일에 청구되며 혜택이 제공되지 않습니다. ※ 즉시결제 1% 추가 캐시백과 Weekly 자동결제 1% 캐시백은 중복 제공되지 않습니다. [캐시백 적용 제외 대상] 하단 부가서비스 및 통합할인한도에서 확인해주세요. 렌탈 bene_123.png https://vertical.pstatic.net/vertical-cardad/benefits/icons/bene_123.png 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 0.7 percent 3 21 의료 업종 최대 1.7% 캐시백 [기본 캐시백] 국내 모든 가맹점 0.7%, 해외 모든 이용금액 0.7% 캐시백 지급 실적 조건 및 한도 없이 혜택을 제공합니다. 할부 이용 시 이용일을 기준으로 전체 금액에 대하여 캐시백 혜택이 제공됩니다.( ※ 단, 무이자할부 이용금액은 제외됩니다.) [즉시결제 1% 추가 캐시백] 일시불 이용 후 5일 이내 즉시결제 시 1% 즉시결제란? 카드결","2026-06-11T13:04:13.065Z"
"naver-card-10304-text-6","naver-card-10304","collector_snippets","1973","f4e03f412bad660b91cd78bf541c88a0894c06fc565420138c9a262b75c45967","데백화점 롯데카드 신규 회원 최대 100% 지급 LG U+ X LOCA 롯데카드 텔로 SE 부가혜택 및 통합할인한도 [연회비] 국내전용: 20,000원 해외겸용(MASTER, AMEX): 20,000원 가족카드: 13,000원 [디지로카 London 카드 캐시백 공통기준] 캐시백 혜택은 매달 1일-말일 카드 이용대금에 대해 다음달 25일(휴일인 경우 다음 영업일)에 제공되며, 롯데카드에 등록 한하여 L.POINT 회원가입이 가능합니다. L.POINT는 L.POINT 제휴사 이용 시 결제금액에 따라 적립받고 현금처럼 사용가능한 포인트 입니다. ※ 디지로카 London 카드로 결제 시, 롯데카드가 제공하는 L.POINT 적립 서비스가 제공되지 않습니다. 다른 L.POINT 제휴사가 제공하는 L.POINT는 적립 가능합니다. L.POINT의 사용과 적립에 관한 자세한 내용은 L.POI 네이버 신용카드 정보: 디지로카 London 신용카드 디지로카 London 공지 신규 연회비 100% 캐시백 이벤트 연회비 국내 2만원, 해외 2만원, 가족 1만3천원 신규 회원 최대 100% 지급 기준실적 조건없음 혜택요약 실적·한도 없이 0.7% 캐시백 즉시결제 1% 추가 캐시백 온라인 신청 주요혜택 연회비지원 포인트/캐시백 렌탈 의료 뷰티 다른 DiGi LOCA City Editi 국내 2만원, 해외 2만원, 가족 1만3천원 신규 회원 최대 100% 지급 기준실적 조건없음 혜택요약 실적·한도 없이 0.7% 캐시백 즉시결제 1% 추가 캐시백 온라인 신청 주요혜택 연회비지원 포인트/캐시백 렌탈 의료 뷰티 다른 DiGi LOCA City Edition 디지로카 Las Vegas 신규 회원 최대 100% 지급 디지로카 Paris 신규 회원 최대 100% 지급 디지로카 Mona 네이버 신용카드 정보: 디지로카 London 신용카드 디지로카 London 공지 신규 연회비 100% 캐시백 이벤트 연회비 국내 2만원, 해외 2만원, 가족 1만3천원 신규 회원 최대 100% 지급 기준실적 조건없음 혜택요약 실적·한도 없이 0.7% 캐시백 즉시결제 1% 추가 캐시백 온라인 신청 주요혜택 연회비지원 포인트/캐시백 렌탈 의료 뷰티 다른 DiGi LOCA C 금액, 기프트·선불카드 충전 및 구매, 포인트충전, 상품권(모바일 상품권 포함)구매, PC방, 귀금속, 대중교통(시내·광역·시외버스, 지하철), 택시, 고속버스, 고속도로 통행요금, 무승인전표(자판기, 터널통행료, 항공 기내 이용), 벌금, 과태료, 민원 발급 수수료, 관세납부, 인지세, 송달료, 단기카드대출(현금서비스), 장기카드대출(카드론), 연회비, 이자 및 각종 수수료 ② 추가 캐시백 마트 최대 1.7% 캐시백 오토 오토 관련 업종 최대 1.7% 캐시백 오토 관련 업종 최대 1.7% 캐시백 주유 주유비 최대 1.7% 캐시백 주유비 최대 1.7% 캐시백 납부 혜택 이용 금액에 따라 최대 6개월 나누기 추가 수수료 없는 납부 혜택! 이용 금액에 따라 최대 6개월 나누기 추가 수수료 없는 납부 혜택! LOCA LIKIT 1.2 신규 회원 최대 100% 지급 LOCA 365 신규 핑 업종 최대 1.7% 캐시백 육아 영·유아 업종 최대 1.7% 캐시백 영·유아 업종 최대 1.7% 캐시백 통신 통신비 최대 1.7% 캐시백 통신비 최대 1.7% 캐시백 교육 교육비 최대 1.7% 캐시백 교육비 최대 1.7% 캐시백 대형마트 대형마트 최대 1.7% 캐시백 대형마트 최대 1.7% 캐시백 오토 오토 관련 업종 최대 1.7% 캐시백 오토 관련 업종 최대 1.7% 캐시백 주유 주유비 최대 1.7% 캐시백 카페/베이커리 카페·베이커리 최대 1.7% 캐시백 카페·베이커리 최대 1.7% 캐시백 쇼핑 쇼핑 업종 최대 1.7% 캐시백 쇼핑 업종 최대 1.7% 캐시백 육아 영·유아 업종 최대 1.7% 캐시백 영·유아 업종 최대 1.7% 캐시백 통신 통신비 최대 1.7% 캐시백 통신비 최대 1.7% 캐시백 교육 교육비 최대 1.7% 캐시백 교육비 최대 1.7% 캐시백 대형마트 대형마","2026-06-11T13:04:13.065Z"
"naver-card-1530-text-1","naver-card-1530","base","37","55bd216c6a1fcf2243081a8486e8a4a9da934d48934e0d46552e71ae4f622602","true before month 1 sum 300000 300000","2026-06-11T13:04:13.065Z"
